teamid,Stat,Value,Rank
1,evGGARatio,0.7961,29th
1,faceOffWinPercentage,46.9,29th
1,faceOffsLost,2090,30th
1,faceOffsTaken,3939,9th
1,faceOffsWon,1849,27th
1,gamesPlayed,68,
1,goalsAgainstPerGame,3.221,28th
1,goalsPerGame,2.691,25th
1,losses,28,23rd
1,ot,12,3rd
1,penaltyKillOpportunities,,24th
1,penaltyKillPercentage,82.0,12th
1,powerPlayGoals,41,18th
1,powerPlayGoalsAgainst,39,14th
1,powerPlayOpportunities,231,3rd
1,powerPlayPercentage,17.8,22nd
1,ptPctg,50.0,25th
1,pts,68,25th
1,savePctg,0.901,19th
1,shootingPctg,8.7,23rd
1,shotsAllowed,32.6912,26th
1,shotsPerGame,30.8088,21st
1,winLeadFirstPer,0.5,30th
1,winLeadSecondPer,0.704,28th
1,winOppScoreFirst,0.351,8th
1,winOutshootOpp,0.417,24th
1,winOutshotByOpp,0.39,24th
1,winScoreFirst,0.484,29th
1,wins,28,27th
2,evGGARatio,0.9385,23rd
2,faceOffWinPercentage,49.9,18th
2,faceOffsLost,1781,3rd
2,faceOffsTaken,3553,31st
2,faceOffsWon,1772,29th
2,gamesPlayed,67,
2,goalsAgainstPerGame,2.776,8th
2,goalsPerGame,2.761,22nd
2,losses,23,10th
2,ot,9,6th
2,penaltyKillOpportunities,,3rd
2,penaltyKillPercentage,81.0,15th
2,powerPlayGoals,29,30th
2,powerPlayGoalsAgainst,33,5th
2,powerPlayOpportunities,165,31st
2,powerPlayPercentage,17.6,23rd
2,ptPctg,59.0,11th
2,pts,79,12th
2,savePctg,0.911,8th
2,shootingPctg,9.4,16th
2,shotsAllowed,31.1791,15th
2,shotsPerGame,29.3582,29th
2,winLeadFirstPer,0.714,22nd
2,winLeadSecondPer,0.885,9th
2,winOppScoreFirst,0.375,11th
2,winOutshootOpp,0.5,12th
2,winOutshotByOpp,0.55,12th
2,winScoreFirst,0.657,18th
2,wins,35,14th
12,evGGARatio,1.015,17th
12,faceOffWinPercentage,50.7,9th
12,faceOffsLost,1941,15th
12,faceOffsTaken,3934,11th
12,faceOffsWon,1993,10th
12,gamesPlayed,66,
12,goalsAgainstPerGame,2.864,12th
12,goalsPerGame,3.121,15th
12,losses,25,14th
12,ot,5,28th
12,penaltyKillOpportunities,,30th
12,penaltyKillPercentage,83.5,4th
12,powerPlayGoals,42,13th
12,powerPlayGoalsAgainst,38,12th
12,powerPlayOpportunities,198,19th
12,powerPlayPercentage,21.2,9th
12,ptPctg,58.3,12th
12,pts,77,15th
12,savePctg,0.903,17th
12,shootingPctg,9.4,17th
12,shotsAllowed,29.3788,2nd
12,shotsPerGame,33.1667,3rd
