gameID,teamid1,teamID2,main_title,title,blurb,description,FLASH_192K_320X180,FLASH_450K_400X224,FLASH_1200K_640X360,FLASH_1800K_960X540,HTTP_CLOUD_MOBILE,HTTP_CLOUD_TABLET,HTTP_CLOUD_TABLET_60,HTTP_CLOUD_WIRED,HTTP_CLOUD_WIRED_60,HTTP_CLOUD_WIRED_WEB
2017020001,10,52,Extended Highlights,TOR @ WPG,Condensed Game: Maple Leafs @ Jets,Extended highlights of the Toronto Maple Leafs at the Winnipeg Jets,http://md-akc.med.nhl.com/mp4/nhl/2017/10/05/742e4190-3fff-45bf-8b32-33c7e315a55d/1507172892200/asset_192k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2017/10/05/742e4190-3fff-45bf-8b32-33c7e315a55d/1507172892200/asset_450k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2017/10/05/742e4190-3fff-45bf-8b32-33c7e315a55d/1507172892200/asset_1200k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2017/10/05/742e4190-3fff-45bf-8b32-33c7e315a55d/1507172892200/asset_1800k.mp4,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/742e4190-3fff-45bf-8b32-33c7e315a55d/1507172892195/master_mobile.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/742e4190-3fff-45bf-8b32-33c7e315a55d/1507172892195/master_tablet.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/742e4190-3fff-45bf-8b32-33c7e315a55d/1507172892195/master_tablet60.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/742e4190-3fff-45bf-8b32-33c7e315a55d/1507172892195/master_wired.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/742e4190-3fff-45bf-8b32-33c7e315a55d/1507172892195/master_wired60.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/742e4190-3fff-45bf-8b32-33c7e315a55d/1507172892195/master_wired_web.m3u8
2017020001,10,52,Recap,"Recap: TOR 7, WPG 2","Matthews, Marleau lead Leafs' onslaught in opener","Auston Matthews had a goal and two assists, while Patrick Marleau scored twice in his Maple Leafs debut, a 7-2 win against the Jets",http://md-akc.med.nhl.com/mp4/nhl/2017/10/05/17169585-08e3-4c1e-b067-cb09fd56c0c6/1507172365025/asset_192k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2017/10/05/17169585-08e3-4c1e-b067-cb09fd56c0c6/1507172365025/asset_450k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2017/10/05/17169585-08e3-4c1e-b067-cb09fd56c0c6/1507172365025/asset_1200k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2017/10/05/17169585-08e3-4c1e-b067-cb09fd56c0c6/1507172365025/asset_1800k.mp4,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/17169585-08e3-4c1e-b067-cb09fd56c0c6/1507172364955/master_mobile.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/17169585-08e3-4c1e-b067-cb09fd56c0c6/1507172364955/master_tablet.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/17169585-08e3-4c1e-b067-cb09fd56c0c6/1507172364955/master_tablet60.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/17169585-08e3-4c1e-b067-cb09fd56c0c6/1507172364955/master_wired.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/17169585-08e3-4c1e-b067-cb09fd56c0c6/1507172364955/master_wired60.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/17169585-08e3-4c1e-b067-cb09fd56c0c6/1507172364955/master_wired_web.m3u8
2017020002,19,5,Extended Highlights,STL @ PIT,Condensed Game: Blues @ Penguins,Extended highlights of the St. Louis Blues at the Pittsburgh Penguins,http://md-akc.med.nhl.com/mp4/nhl/2017/10/05/9f6e50f0-1198-4df2-a63b-a764300f5185/1507175620013/asset_192k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2017/10/05/9f6e50f0-1198-4df2-a63b-a764300f5185/1507175620013/asset_450k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2017/10/05/9f6e50f0-1198-4df2-a63b-a764300f5185/1507175620013/asset_1200k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2017/10/05/9f6e50f0-1198-4df2-a63b-a764300f5185/1507175620013/asset_1800k.mp4,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/9f6e50f0-1198-4df2-a63b-a764300f5185/1507175620008/master_mobile.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/9f6e50f0-1198-4df2-a63b-a764300f5185/1507175620008/master_tablet.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/9f6e50f0-1198-4df2-a63b-a764300f5185/1507175620008/master_tablet60.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/9f6e50f0-1198-4df2-a63b-a764300f5185/1507175620008/master_wired.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/9f6e50f0-1198-4df2-a63b-a764300f5185/1507175620008/master_wired60.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/9f6e50f0-1198-4df2-a63b-a764300f5185/1507175620008/master_wired_web.m3u8
2017020002,19,5,Recap,"Recap: STL 5, PIT 4 - F/OT",Pietrangelo lead Blues past Penguins in OT,"Alex Pietrangelo tallied two goals, including the overtime winner, to propel the Blues past the Penguins, 5-4, in Pittsburgh",http://md-akc.med.nhl.com/mp4/nhl/2017/10/05/a6f7a153-9f53-4176-a1ff-f9b4f14223d8/1507174566694/asset_192k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2017/10/05/a6f7a153-9f53-4176-a1ff-f9b4f14223d8/1507174566694/asset_450k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2017/10/05/a6f7a153-9f53-4176-a1ff-f9b4f14223d8/1507174566694/asset_1200k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2017/10/05/a6f7a153-9f53-4176-a1ff-f9b4f14223d8/1507174566694/asset_1800k.mp4,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/a6f7a153-9f53-4176-a1ff-f9b4f14223d8/1507174566640/master_mobile.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/a6f7a153-9f53-4176-a1ff-f9b4f14223d8/1507174566640/master_tablet.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/a6f7a153-9f53-4176-a1ff-f9b4f14223d8/1507174566640/master_tablet60.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/a6f7a153-9f53-4176-a1ff-f9b4f14223d8/1507174566640/master_wired.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/a6f7a153-9f53-4176-a1ff-f9b4f14223d8/1507174566640/master_wired60.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/a6f7a153-9f53-4176-a1ff-f9b4f14223d8/1507174566640/master_wired_web.m3u8
2017020003,22,20,Extended Highlights,CGY @ EDM,Condensed Game: Flames @ Oilers,Extended highlights of the Calgary Flames at the Edmonton Oilers,http://md-akc.med.nhl.com/mp4/nhl/2017/10/05/ff65ed6d-1532-4d2f-8f77-1c0b91e36ed2/1507183736041/asset_192k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2017/10/05/ff65ed6d-1532-4d2f-8f77-1c0b91e36ed2/1507183736041/asset_450k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2017/10/05/ff65ed6d-1532-4d2f-8f77-1c0b91e36ed2/1507183736041/asset_1200k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2017/10/05/ff65ed6d-1532-4d2f-8f77-1c0b91e36ed2/1507183736041/asset_1800k.mp4,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/ff65ed6d-1532-4d2f-8f77-1c0b91e36ed2/1507183736036/master_mobile.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/ff65ed6d-1532-4d2f-8f77-1c0b91e36ed2/1507183736036/master_tablet.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/ff65ed6d-1532-4d2f-8f77-1c0b91e36ed2/1507183736036/master_tablet60.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/ff65ed6d-1532-4d2f-8f77-1c0b91e36ed2/1507183736036/master_wired.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/ff65ed6d-1532-4d2f-8f77-1c0b91e36ed2/1507183736036/master_wired60.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/ff65ed6d-1532-4d2f-8f77-1c0b91e36ed2/1507183736036/master_wired_web.m3u8
2017020003,22,20,Recap,"Recap: CGY 0, EDM 3","McDavid, Oilers shut out Flames in season opener, 3-0",Connor McDavid recorded a hat trick and Cam Talbot turned away 26 shots as the Oilers opened the season with a 3-0 win against the Flames,http://md-akc.med.nhl.com/mp4/nhl/2017/10/05/9d95c877-68dd-44a0-8e7e-140e85b261c0/1507180970214/asset_192k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2017/10/05/9d95c877-68dd-44a0-8e7e-140e85b261c0/1507180970214/asset_450k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2017/10/05/9d95c877-68dd-44a0-8e7e-140e85b261c0/1507180970214/asset_1200k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2017/10/05/9d95c877-68dd-44a0-8e7e-140e85b261c0/1507180970214/asset_1800k.mp4,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/9d95c877-68dd-44a0-8e7e-140e85b261c0/1507180970208/master_mobile.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/9d95c877-68dd-44a0-8e7e-140e85b261c0/1507180970208/master_tablet.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/9d95c877-68dd-44a0-8e7e-140e85b261c0/1507180970208/master_tablet60.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/9d95c877-68dd-44a0-8e7e-140e85b261c0/1507180970208/master_wired.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/9d95c877-68dd-44a0-8e7e-140e85b261c0/1507180970208/master_wired60.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/9d95c877-68dd-44a0-8e7e-140e85b261c0/1507180970208/master_wired_web.m3u8
2017020004,28,4,Extended Highlights,PHI @ SJS,Condensed Game: Flyers @ Sharks,Extended highlights of the Philadelphia Flyers at the San Jose Sharks,http://md-akc.med.nhl.com/mp4/nhl/2017/10/05/7ee6bc0b-635e-469d-9481-a0c2bc2a9e4e/1507183018066/asset_192k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2017/10/05/7ee6bc0b-635e-469d-9481-a0c2bc2a9e4e/1507183018066/asset_450k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2017/10/05/7ee6bc0b-635e-469d-9481-a0c2bc2a9e4e/1507183018066/asset_1200k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2017/10/05/7ee6bc0b-635e-469d-9481-a0c2bc2a9e4e/1507183018066/asset_1800k.mp4,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/7ee6bc0b-635e-469d-9481-a0c2bc2a9e4e/1507183018060/master_mobile.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/7ee6bc0b-635e-469d-9481-a0c2bc2a9e4e/1507183018060/master_tablet.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/7ee6bc0b-635e-469d-9481-a0c2bc2a9e4e/1507183018060/master_tablet60.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/7ee6bc0b-635e-469d-9481-a0c2bc2a9e4e/1507183018060/master_wired.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/7ee6bc0b-635e-469d-9481-a0c2bc2a9e4e/1507183018060/master_wired60.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/7ee6bc0b-635e-469d-9481-a0c2bc2a9e4e/1507183018060/master_wired_web.m3u8
2017020004,28,4,Recap,"Recap: PHI 5, SJS 3","Simmonds' hat trick leads Flyers past Sharks","Wayne Simmonds recorded a hat trick and notched his 400th career point during the Flyers' season-opening 5-3 win against the Sharks",http://md-akc.med.nhl.com/mp4/nhl/2017/10/05/624fe160-a292-4d56-91ee-328d676a5f1b/1507183661971/asset_192k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2017/10/05/624fe160-a292-4d56-91ee-328d676a5f1b/1507183661971/asset_450k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2017/10/05/624fe160-a292-4d56-91ee-328d676a5f1b/1507183661971/asset_1200k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2017/10/05/624fe160-a292-4d56-91ee-328d676a5f1b/1507183661971/asset_1800k.mp4,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/624fe160-a292-4d56-91ee-328d676a5f1b/1507183661966/master_mobile.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/624fe160-a292-4d56-91ee-328d676a5f1b/1507183661966/master_tablet.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/624fe160-a292-4d56-91ee-328d676a5f1b/1507183661966/master_tablet60.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/624fe160-a292-4d56-91ee-328d676a5f1b/1507183661966/master_wired.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/624fe160-a292-4d56-91ee-328d676a5f1b/1507183661966/master_wired60.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/05/624fe160-a292-4d56-91ee-328d676a5f1b/1507183661966/master_wired_web.m3u8
2017020005,6,18,Extended Highlights,NSH @ BOS,Condensed Game: Predators @ Bruins,Extended highlights of the Nashville Predators at the Boston Bruins,http://md-akc.med.nhl.com/mp4/nhl/2017/10/06/f0441a66-a556-41c9-92a1-84776cd032d4/1507261114965/asset_192k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2017/10/06/f0441a66-a556-41c9-92a1-84776cd032d4/1507261114965/asset_450k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2017/10/06/f0441a66-a556-41c9-92a1-84776cd032d4/1507261114965/asset_1200k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2017/10/06/f0441a66-a556-41c9-92a1-84776cd032d4/1507261114965/asset_1800k.mp4,http://md-akc.med.nhl.com/hls/nhl/2017/10/06/f0441a66-a556-41c9-92a1-84776cd032d4/1507261114906/master_mobile.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/06/f0441a66-a556-41c9-92a1-84776cd032d4/1507261114906/master_tablet.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/06/f0441a66-a556-41c9-92a1-84776cd032d4/1507261114906/master_tablet60.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/06/f0441a66-a556-41c9-92a1-84776cd032d4/1507261114906/master_wired.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/06/f0441a66-a556-41c9-92a1-84776cd032d4/1507261114906/master_wired60.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/06/f0441a66-a556-41c9-92a1-84776cd032d4/1507261114906/master_wired_web.m3u8
2017020005,6,18,Recap,"Recap: NSH 3, BOS 4",Youth powers Bruins to 4-3 win against Predators,"Jake DeBrusk and Charlie McAvoy each scored their first NHL goals, helping the Bruins open their season with a 4-3 win against the Predators",http://md-akc.med.nhl.com/mp4/nhl/2017/10/06/430c2fd4-5511-44c7-ba58-ca1de061fb5f/1507260885956/asset_192k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2017/10/06/430c2fd4-5511-44c7-ba58-ca1de061fb5f/1507260885956/asset_450k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2017/10/06/430c2fd4-5511-44c7-ba58-ca1de061fb5f/1507260885956/asset_1200k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2017/10/06/430c2fd4-5511-44c7-ba58-ca1de061fb5f/1507260885956/asset_1800k.mp4,http://md-akc.med.nhl.com/hls/nhl/2017/10/06/430c2fd4-5511-44c7-ba58-ca1de061fb5f/1507260885950/master_mobile.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/06/430c2fd4-5511-44c7-ba58-ca1de061fb5f/1507260885950/master_tablet.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/06/430c2fd4-5511-44c7-ba58-ca1de061fb5f/1507260885950/master_tablet60.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/06/430c2fd4-5511-44c7-ba58-ca1de061fb5f/1507260885950/master_wired.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/06/430c2fd4-5511-44c7-ba58-ca1de061fb5f/1507260885950/master_wired60.m3u8,http://md-akc.med.nhl.com/hls/nhl/2017/10/06/430c2fd4-5511-44c7-ba58-ca1de061fb5f/1507260885950/master_wired_web.m3u8
