gameID,teamid1,teamID2,main_title,title,blurb,description,FLASH_192K_320X180,FLASH_450K_400X224,FLASH_1200K_640X360,FLASH_1800K_960X540,HTTP_CLOUD_MOBILE,HTTP_CLOUD_TABLET,HTTP_CLOUD_TABLET_60,HTTP_CLOUD_WIRED,HTTP_CLOUD_WIRED_60,HTTP_CLOUD_WIRED_WEB,FLASH_450K_384x216,FLASH_1800K_896x504
2019020001,9,10,Extended Highlights,OTT @ TOR,Condensed Game: Senators @ Maple Leafs,Extended highlights of the Ottawa Senators at the Toronto Maple Leafs,http://md-akc.med.nhl.com/mp4/nhl/2019/10/03/95dc6ad6-ee4c-4395-8fd5-2475c49536d8/1570077720146/asset_192k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2019/10/03/95dc6ad6-ee4c-4395-8fd5-2475c49536d8/1570077720146/asset_450k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2019/10/03/95dc6ad6-ee4c-4395-8fd5-2475c49536d8/1570077720146/asset_1200k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2019/10/03/95dc6ad6-ee4c-4395-8fd5-2475c49536d8/1570077720146/asset_1800k.mp4,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/95dc6ad6-ee4c-4395-8fd5-2475c49536d8/1570077720141/master_mobile.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/95dc6ad6-ee4c-4395-8fd5-2475c49536d8/1570077720141/master_tablet.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/95dc6ad6-ee4c-4395-8fd5-2475c49536d8/1570077720141/master_tablet60.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/95dc6ad6-ee4c-4395-8fd5-2475c49536d8/1570077720141/master_wired.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/95dc6ad6-ee4c-4395-8fd5-2475c49536d8/1570077720141/master_wired60.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/95dc6ad6-ee4c-4395-8fd5-2475c49536d8/1570077720141/master_wired_web.m3u8,"",""
2019020001,9,10,Recap,"Recap: OTT 3, TOR 5",Matthews scores twice as Maple Leafs down Senators,Auston Matthews scored two goals to help the Maple Leafs open the season with a 5-3 win against the Senators,http://md-akc.med.nhl.com/mp4/nhl/2019/10/03/0c601084-00e2-403f-a650-a160f87c39a5/1570070637174/asset_192k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2019/10/03/0c601084-00e2-403f-a650-a160f87c39a5/1570070637174/asset_450k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2019/10/03/0c601084-00e2-403f-a650-a160f87c39a5/1570070637174/asset_1200k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2019/10/03/0c601084-00e2-403f-a650-a160f87c39a5/1570070637174/asset_1800k.mp4,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/0c601084-00e2-403f-a650-a160f87c39a5/1570070637165/master_mobile.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/0c601084-00e2-403f-a650-a160f87c39a5/1570070637165/master_tablet.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/0c601084-00e2-403f-a650-a160f87c39a5/1570070637165/master_tablet60.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/0c601084-00e2-403f-a650-a160f87c39a5/1570070637165/master_wired.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/0c601084-00e2-403f-a650-a160f87c39a5/1570070637165/master_wired60.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/0c601084-00e2-403f-a650-a160f87c39a5/1570070637165/master_wired_web.m3u8,"",""
2019020002,19,15,Extended Highlights,WSH @ STL,Condensed Game: Capitals @ Blues,Extended Highlights of the Washington Capitals at the St. Louis Blues,http://md-akc.med.nhl.com/mp4/nhl/2019/10/03/0ba11c0e-6f22-4109-8d2d-f47b6a252044/1570077392670/asset_192k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2019/10/03/0ba11c0e-6f22-4109-8d2d-f47b6a252044/1570077392670/asset_450k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2019/10/03/0ba11c0e-6f22-4109-8d2d-f47b6a252044/1570077392670/asset_1200k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2019/10/03/0ba11c0e-6f22-4109-8d2d-f47b6a252044/1570077392670/asset_1800k.mp4,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/0ba11c0e-6f22-4109-8d2d-f47b6a252044/1570077392665/master_mobile.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/0ba11c0e-6f22-4109-8d2d-f47b6a252044/1570077392665/master_tablet.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/0ba11c0e-6f22-4109-8d2d-f47b6a252044/1570077392665/master_tablet60.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/0ba11c0e-6f22-4109-8d2d-f47b6a252044/1570077392665/master_wired.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/0ba11c0e-6f22-4109-8d2d-f47b6a252044/1570077392665/master_wired60.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/0ba11c0e-6f22-4109-8d2d-f47b6a252044/1570077392665/master_wired_web.m3u8,"",""
2019020002,19,15,Recap,"Recap: WSH 3, STL 2 - F/OT","Vrana scores in OT as Caps spoil Blues' banner night",Jakub Vrana scored in overtime as the Capitals rallied for a 3-2 victory after the Blues raised their first-ever Stanley Cup banner,http://md-akc.med.nhl.com/mp4/nhl/2019/10/03/2e999700-e7c5-47ab-a466-d3f719767711/1570074401982/asset_192k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2019/10/03/2e999700-e7c5-47ab-a466-d3f719767711/1570074401982/asset_450k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2019/10/03/2e999700-e7c5-47ab-a466-d3f719767711/1570074401982/asset_1200k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2019/10/03/2e999700-e7c5-47ab-a466-d3f719767711/1570074401982/asset_1800k.mp4,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/2e999700-e7c5-47ab-a466-d3f719767711/1570074401973/master_mobile.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/2e999700-e7c5-47ab-a466-d3f719767711/1570074401973/master_tablet.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/2e999700-e7c5-47ab-a466-d3f719767711/1570074401973/master_tablet60.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/2e999700-e7c5-47ab-a466-d3f719767711/1570074401973/master_wired.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/2e999700-e7c5-47ab-a466-d3f719767711/1570074401973/master_wired60.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/2e999700-e7c5-47ab-a466-d3f719767711/1570074401973/master_wired_web.m3u8,"",""
2019020003,23,22,Extended Highlights,VAN @ EDM,Condensed Game: Canucks @ Oilers,Extended highlights of the Vancouver Canucks at the Edmonton Oilers,http://md-akc.med.nhl.com/mp4/nhl/2019/10/03/b42ca6eb-e897-4bfb-a653-350a0e0da9d6/1570079630670/asset_192k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2019/10/03/b42ca6eb-e897-4bfb-a653-350a0e0da9d6/1570079630670/asset_450k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2019/10/03/b42ca6eb-e897-4bfb-a653-350a0e0da9d6/1570079630670/asset_1200k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2019/10/03/b42ca6eb-e897-4bfb-a653-350a0e0da9d6/1570079630670/asset_1800k.mp4,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/b42ca6eb-e897-4bfb-a653-350a0e0da9d6/1570079630665/master_mobile.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/b42ca6eb-e897-4bfb-a653-350a0e0da9d6/1570079630665/master_tablet.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/b42ca6eb-e897-4bfb-a653-350a0e0da9d6/1570079630665/master_tablet60.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/b42ca6eb-e897-4bfb-a653-350a0e0da9d6/1570079630665/master_wired.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/b42ca6eb-e897-4bfb-a653-350a0e0da9d6/1570079630665/master_wired60.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/b42ca6eb-e897-4bfb-a653-350a0e0da9d6/1570079630665/master_wired_web.m3u8,"",""
2019020003,23,22,Recap,"Recap: VAN 2, EDM 3",McDavid scores in 3rd as Oilers rally past Canucks,Connor McDavid scored the go-ahead goal in the 3rd period as the Oilers opened the season with a 3-2 come-from-behind win against the Canucks,http://md-akc.med.nhl.com/mp4/nhl/2019/10/03/9f602b29-67d8-4341-96a6-affdf6e5d690/1570079898273/asset_192k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2019/10/03/9f602b29-67d8-4341-96a6-affdf6e5d690/1570079898273/asset_450k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2019/10/03/9f602b29-67d8-4341-96a6-affdf6e5d690/1570079898273/asset_1200k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2019/10/03/9f602b29-67d8-4341-96a6-affdf6e5d690/1570079898273/asset_1800k.mp4,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/9f602b29-67d8-4341-96a6-affdf6e5d690/1570079898268/master_mobile.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/9f602b29-67d8-4341-96a6-affdf6e5d690/1570079898268/master_tablet.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/9f602b29-67d8-4341-96a6-affdf6e5d690/1570079898268/master_tablet60.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/9f602b29-67d8-4341-96a6-affdf6e5d690/1570079898268/master_wired.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/9f602b29-67d8-4341-96a6-affdf6e5d690/1570079898268/master_wired60.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/9f602b29-67d8-4341-96a6-affdf6e5d690/1570079898268/master_wired_web.m3u8,"",""
2019020004,28,54,Extended Highlights,SJS @ VGK,Condensed Game: Sharks @ Golden Knights,Extended highlights of the San Jose Sharks at the Vegas Golden Knights,http://md-akc.med.nhl.com/mp4/nhl/2019/10/03/b24db34a-3f09-4b6c-bc1a-18c5234cb0f4/1570081804633/asset_192k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2019/10/03/b24db34a-3f09-4b6c-bc1a-18c5234cb0f4/1570081804633/asset_450k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2019/10/03/b24db34a-3f09-4b6c-bc1a-18c5234cb0f4/1570081804633/asset_1200k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2019/10/03/b24db34a-3f09-4b6c-bc1a-18c5234cb0f4/1570081804633/asset_1800k.mp4,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/b24db34a-3f09-4b6c-bc1a-18c5234cb0f4/1570081804628/master_mobile.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/b24db34a-3f09-4b6c-bc1a-18c5234cb0f4/1570081804628/master_tablet.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/b24db34a-3f09-4b6c-bc1a-18c5234cb0f4/1570081804628/master_tablet60.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/b24db34a-3f09-4b6c-bc1a-18c5234cb0f4/1570081804628/master_wired.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/b24db34a-3f09-4b6c-bc1a-18c5234cb0f4/1570081804628/master_wired60.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/b24db34a-3f09-4b6c-bc1a-18c5234cb0f4/1570081804628/master_wired_web.m3u8,"",""
2019020004,28,54,Recap,"Recap: SJS 1, VGK 4","Smith scores twice, leads Golden Knights past Sharks",Reilly Smith scored two goals and Cody Glass tallied in his NHL debut as the Golden Knights opened the season with a 4-1 win against the Sharks,http://md-akc.med.nhl.com/mp4/nhl/2019/10/03/e228b9dc-c9dc-4ff8-b05a-b54fefdaa7ef/1570082447818/asset_192k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2019/10/03/e228b9dc-c9dc-4ff8-b05a-b54fefdaa7ef/1570082447818/asset_450k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2019/10/03/e228b9dc-c9dc-4ff8-b05a-b54fefdaa7ef/1570082447818/asset_1200k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2019/10/03/e228b9dc-c9dc-4ff8-b05a-b54fefdaa7ef/1570082447818/asset_1800k.mp4,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/e228b9dc-c9dc-4ff8-b05a-b54fefdaa7ef/1570082447810/master_mobile.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/e228b9dc-c9dc-4ff8-b05a-b54fefdaa7ef/1570082447810/master_tablet.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/e228b9dc-c9dc-4ff8-b05a-b54fefdaa7ef/1570082447810/master_tablet60.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/e228b9dc-c9dc-4ff8-b05a-b54fefdaa7ef/1570082447810/master_wired.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/e228b9dc-c9dc-4ff8-b05a-b54fefdaa7ef/1570082447810/master_wired60.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/03/e228b9dc-c9dc-4ff8-b05a-b54fefdaa7ef/1570082447810/master_wired_web.m3u8,"",""
2019020005,14,13,Extended Highlights,FLA @ TBL,Condensed Game: Panthers @ Lightning,Extended highlights of the Florida Panthers at the Tampa Bay Lightning,http://md-akc.med.nhl.com/mp4/nhl/2019/10/04/12da64d2-4de7-4476-9775-5bb3c755fd65/1570156855900/asset_192k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2019/10/04/12da64d2-4de7-4476-9775-5bb3c755fd65/1570156855900/asset_450k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2019/10/04/12da64d2-4de7-4476-9775-5bb3c755fd65/1570156855900/asset_1200k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2019/10/04/12da64d2-4de7-4476-9775-5bb3c755fd65/1570156855900/asset_1800k.mp4,http://md-akc.med.nhl.com/hls/nhl/2019/10/04/12da64d2-4de7-4476-9775-5bb3c755fd65/1570156855892/master_mobile.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/04/12da64d2-4de7-4476-9775-5bb3c755fd65/1570156855892/master_tablet.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/04/12da64d2-4de7-4476-9775-5bb3c755fd65/1570156855892/master_tablet60.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/04/12da64d2-4de7-4476-9775-5bb3c755fd65/1570156855892/master_wired.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/04/12da64d2-4de7-4476-9775-5bb3c755fd65/1570156855892/master_wired60.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/04/12da64d2-4de7-4476-9775-5bb3c755fd65/1570156855892/master_wired_web.m3u8,"",""
2019020005,14,13,Recap,"Recap: FLA 2, TBL 5","Kucherov, Lightning power past Panthers","Nikita Kucherov notched a goal and an assist, while Andrei Vasilevskiy made 35 stops in the Lightning's 5-2 win against the Panthers",http://md-akc.med.nhl.com/mp4/nhl/2019/10/04/636cdc9a-c3ac-4ff5-acb7-6c343ee407b1/1570156799320/asset_192k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2019/10/04/636cdc9a-c3ac-4ff5-acb7-6c343ee407b1/1570156799320/asset_450k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2019/10/04/636cdc9a-c3ac-4ff5-acb7-6c343ee407b1/1570156799320/asset_1200k.mp4,http://md-akc.med.nhl.com/mp4/nhl/2019/10/04/636cdc9a-c3ac-4ff5-acb7-6c343ee407b1/1570156799320/asset_1800k.mp4,http://md-akc.med.nhl.com/hls/nhl/2019/10/04/636cdc9a-c3ac-4ff5-acb7-6c343ee407b1/1570156799315/master_mobile.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/04/636cdc9a-c3ac-4ff5-acb7-6c343ee407b1/1570156799315/master_tablet.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/04/636cdc9a-c3ac-4ff5-acb7-6c343ee407b1/1570156799315/master_tablet60.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/04/636cdc9a-c3ac-4ff5-acb7-6c343ee407b1/1570156799315/master_wired.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/04/636cdc9a-c3ac-4ff5-acb7-6c343ee407b1/1570156799315/master_wired60.m3u8,http://md-akc.med.nhl.com/hls/nhl/2019/10/04/636cdc9a-c3ac-4ff5-acb7-6c343ee407b1/1570156799315/master_wired_web.m3u8,"",""
