teams_name,PlayerName,roster_position_code,player_id,evenSaves,evenShots,evenStrengthSavePercentage,games,gamesStarted,goalAgainstAverage,goalsAgainst,losses,ot,powerPlaySavePercentage,powerPlaySaves,powerPlayShots,savePercentage,saves,season,shortHandedSavePercentage,shortHandedSaves,shortHandedShots,shotsAgainst,shutouts,ties,timeOnIce,timeOnIcePerGame,wins,fileSuffix
Anaheim Ducks,Chad Johnson,G,8473434,285,324,87.962962962963,19,11,3.63,49,11,0,87.8787878787879,58,66,0.879,357,20182019,87.5,14,16,406,1,0,810:29,42:39,2,_20182019
Anaheim Ducks,John Gibson,G,8476434,1357,1470,92.312925170068,58,57,2.84,153,22,8,88.5093167701863,285,322,0.917,1685,20182019,93.4782608695652,43,46,1838,2,0,3233:02,55:44,26,_20182019
Anaheim Ducks,Kevin Boyle,G,8479294,109,116,93.9655172413793,5,4,2.17,10,3,0,85.7142857142857,18,21,0.928,129,20182019,100,2,2,139,1,0,276:51,55:22,1,_20182019
Anaheim Ducks,Ryan Miller,G,8468011,435,469,92.7505330490405,20,17,2.76,51,7,2,86.5979381443299,84,97,0.912,527,20182019,66.6666666666667,8,12,578,1,0,1108:48,55:26,8,_20182019
Arizona Coyotes,Adin Hill,G,8478499,244,271,90.0369003690037,13,11,2.76,32,5,0,87.8048780487805,36,41,0.901,290,20182019,100,10,10,322,1,0,696:21,53:33,7,_20182019
Arizona Coyotes,Antti Raanta,G,8477293,264,286,92.3076923076923,12,12,2.88,33,6,0,88.8888888888889,48,54,0.906,318,20182019,54.5454545454545,6,11,351,0,0,687:06,57:15,5,_20182019
Arizona Coyotes,Calvin Pickard,G,8475717,277,311,89.0675241157556,17,12,3.86,48,6,2,80.327868852459,49,61,0.875,336,20182019,83.3333333333333,10,12,384,1,0,746:48,43:55,4,_20182019
Arizona Coyotes,Darcy Kuemper,G,8475311,1316,1420,92.6760563380282,55,55,2.33,126,20,8,89.7435897435898,175,195,0.925,1551,20182019,96.7741935483871,60,62,1677,5,0,3251:15,59:06,27,_20182019
Arizona Coyotes,Hunter Miska,G,8480112,8,9,88.8888888888889,1,0,3.33,1,0,0,"",0,0,0.889,8,20182019,"",0,0,9,0,0,18:16,18:16,0,_20182019
Boston Bruins,Jaroslav Halak,G,8470860,872,932,93.5622317596566,40,37,2.34,90,11,4,84.8314606741573,151,178,0.922,1068,20182019,93.75,45,48,1158,5,0,2308:07,57:42,22,_20182019
Boston Bruins,Tuukka Rask,G,8471695,933,1009,92.4677898909812,46,45,2.48,109,13,5,87.7906976744186,151,172,0.912,1136,20182019,81.25,52,64,1245,4,0,2635:09,57:17,27,_20182019
Buffalo Sabres,Carter Hutton,G,8475622,1190,1306,91.1179173047473,50,48,3,142,25,5,88.265306122449,173,196,0.908,1399,20182019,92.3076923076923,36,39,1541,0,0,2839:37,56:47,18,_20182019
Buffalo Sabres,Linus Ullmark,G,8476999,905,992,91.2298387096774,37,34,3.11,109,14,5,85.6,107,125,0.905,1037,20182019,86.2068965517241,25,29,1146,2,0,2102:06,56:48,15,_20182019
Calgary Flames,David Rittich,G,8479496,941,1020,92.2549019607843,45,42,2.61,109,9,5,84.5679012345679,137,162,0.911,1119,20182019,89.1304347826087,41,46,1228,1,0,2503:20,55:37,27,_20182019
Calgary Flames,Mike Smith,G,8469608,802,884,90.7239819004525,42,40,2.73,109,16,2,82.3943661971831,117,142,0.898,960,20182019,95.3488372093023,41,43,1069,2,0,2400:19,57:09,23,_20182019
Carolina Hurricanes,Alex Nedeljkovic,G,8477968,21,23,91.304347826087,1,1,2,2,0,0,100,3,3,0.923,24,20182019,"",0,0,26,0,0,60:00,60:00,1,_20182019
