teamid,Team Name,Season,PlayerName,roster_position_code,player_id,evenSaves,evenShots,evenStrengthSavePercentage,games,gamesStarted,goalAgainstAverage,goalsAgainst,losses,ot,powerPlaySavePercentage,powerPlaySaves,powerPlayShots,savePercentage,saves,shortHandedSavePercentage,shortHandedSaves,shortHandedShots,shotsAgainst,shutouts,ties,timeOnIce,timeOnIcePerGame,wins
1,New Jersey Devils,20192020,Cory Schneider,G,8471239,262,293,89.419795221843,13,11,3.5332,40,6,2,84,42,50,0.887,315,91.6666666666667,11,12,355,1,0,679:16,52:15,3
1,New Jersey Devils,20192020,Mackenzie Blackwood,G,8478406,1111,1200,92.5833333333333,46,42,2.7434,120,13,8,85.9550561797753,153,178,0.915,1300,85.7142857142857,36,42,1420,3,0,2624:29,57:03,22
10,Toronto Maple Leafs,20192020,Frederik Andersen,G,8475883,1190,1298,91.6795069337442,51,51,2.8914,142,13,7,85.1485148514851,172,202,0.908,1402,90.9090909090909,40,44,1544,3,0,2946:40,57:46,28
10,Toronto Maple Leafs,20192020,Jack Campbell,G,8475789,595,653,91.1179173047473,26,26,2.7952,73,12,3,83.7209302325581,72,86,0.904,688,95.4545454545454,21,22,761,0,0,1566:59,60:16,11
12,Carolina Hurricanes,20192020,Alex Nedeljkovic,G,8477968,51,59,86.4406779661017,3,2,3.4545,9,2,1,87.5,7,8,0.866,58,"",0,0,67,0,0,156:19,52:06,0
12,Carolina Hurricanes,20192020,Anton Forsberg,G,8476341,61,69,88.4057971014493,3,3,3.3531,8,1,0,100,9,9,0.897,70,"",0,0,78,0,0,143:09,47:43,1
12,Carolina Hurricanes,20192020,James Reimer,G,8473503,529,574,92.1602787456446,25,24,2.656,61,6,2,88.6178861788618,109,123,0.914,651,86.6666666666667,13,15,712,3,0,1378:01,55:07,14
12,Carolina Hurricanes,20192020,Petr Mrazek,G,8475852,800,877,91.2200684150513,39,37,2.7067,102,16,2,86.0606060606061,142,165,0.904,964,91.6666666666667,22,24,1066,3,0,2261:03,57:58,20
13,Florida Panthers,20192020,Chris Driedger,G,8476904,263,279,94.2652329749104,11,10,2.1625,21,2,1,90,36,40,0.936,306,87.5,7,8,327,1,0,582:40,52:58,6
13,Florida Panthers,20192020,Sam Montembeault,G,8478470,269,300,89.6666666666667,14,9,3.3393,39,5,1,82.6086956521739,38,46,0.89,317,100,10,10,356,0,0,700:45,50:03,5
13,Florida Panthers,20192020,Sergei Bobrovsky,G,8475683,1116,1236,90.2912621359223,50,49,3.2288,151,19,6,87.1559633027523,190,218,0.9,1354,94.1176470588235,48,51,1505,1,0,2805:59,56:07,23
14,Tampa Bay Lightning,20192020,Andrei Vasilevskiy,G,8476883,1179,1277,92.3257635082224,51,51,2.5659,131,13,3,87.280701754386,199,228,0.917,1438,93.75,60,64,1569,3,0,3063:12,60:03,35
14,Tampa Bay Lightning,20192020,Curtis McElhinney,G,8470147,381,416,91.5865384615384,17,17,2.8346,48,7,2,87.6404494382023,78,89,0.908,475,88.8888888888889,16,18,523,1,0,1016:02,59:46,8
15,Washington Capitals,20192020,Braden Holtby,G,8474651,1017,1124,90.4804270462633,47,46,3.1365,140,14,5,85.1282051282051,166,195,0.897,1219,90,36,40,1359,0,0,2678:10,56:58,25
15,Washington Capitals,20192020,Ilya Samsonov,G,8478492,517,560,92.3214285714286,26,22,2.5513,60,6,2,87.3684210526316,83,95,0.913,629,85.2941176470588,29,34,689,1,0,1411:02,54:16,16
16,Chicago Blackhawks,20192020,Corey Crawford,G,8470645,979,1058,92.5330812854442,38,37,2.8062,104,19,3,85.0340136054422,125,147,0.916,1128,88.8888888888889,24,27,1232,1,0,2223:39,58:31,15
16,Chicago Blackhawks,20192020,Malcolm Subban,G,8476876,401,447,89.7091722595078,21,19,3.1739,60,7,3,84.5238095238095,71,84,0.89,486,93.3333333333333,14,15,546,0,0,1134:15,54:00,9
17,Detroit Red Wings,20192020,Jimmy Howard,G,8470657,600,671,89.4187779433681,27,27,4.1996,96,23,2,81.7460317460317,103,126,0.882,721,90,18,20,817,0,0,1371:34,50:47,2
17,Detroit Red Wings,20192020,Jonathan Bernier,G,8473541,945,1029,91.8367346938776,44,39,2.8751,117,21,3,87.0192307692308,181,208,0.909,1163,86.046511627907,37,43,1280,1,0,2441:37,55:29,14
18,Nashville Predators,20192020,Juuse Saros,G,8477424,835,909,91.8591859185919,39,33,2.721,96,12,4,88.6904761904762,149,168,0.913,1012,90.3225806451613,28,31,1108,4,0,2116:50,54:16,16
18,Nashville Predators,20192020,Pekka Rinne,G,8471469,770,840,91.6666666666667,36,35,3.1694,105,14,4,78.0141843971631,110,141,0.895,899,82.6086956521739,19,23,1004,3,0,1987:46,55:12,18
19,St. Louis Blues,20192020,Jake Allen,G,8474596,475,512,92.7734375,22,19,2.3117,47,6,3,87.6712328767123,64,73,0.922,552,92.8571428571429,13,14,599,1,0,1219:52,55:26,10
19,St. Louis Blues,20192020,Jordan Binnington,G,8476412,1031,1120,92.0535714285714,49,49,2.5742,124,12,7,86.2222222222222,194,225,0.911,1272,92.156862745098,47,51,1396,3,0,2890:12,58:59,30
2,New York Islanders,20192020,Semyon Varlamov,G,8473575,971,1054,92.1252371916508,44,38,2.5935,106,14,5,87.8048780487805,144,164,0.915,1138,88.4615384615385,23,26,1244,2,0,2452:19,55:44,19
2,New York Islanders,20192020,Thomas Greiss,G,8471306,678,737,91.9945725915875,31,29,2.7445,73,9,4,85.0574712643678,74,87,0.913,765,92.8571428571429,13,14,838,0,0,1595:56,51:28,16
20,Calgary Flames,20192020,Cam Talbot,G,8475660,631,683,92.3865300146413,26,22,2.6348,63,10,1,88.7640449438202,79,89,0.919,717,87.5,7,8,780,2,0,1434:39,55:10,12
20,Calgary Flames,20192020,David Rittich,G,8479496,1086,1189,91.3372582001682,47,47,2.9424,134,16,6,88.6255924170616,187,211,0.907,1313,85.1063829787234,40,47,1447,2,0,2732:29,58:08,24
21,Colorado Avalanche,20192020,Michael Hutchinson,G,8474636,332,370,89.7297297297297,16,12,3.471,49,9,1,83.0508474576271,49,59,0.888,390,90,9,10,439,1,0,847:01,52:56,5
21,Colorado Avalanche,20192020,Pavel Francouz,G,8480925,707,767,92.1773142112125,31,28,2.389,69,6,4,91.743119266055,100,109,0.924,835,100,28,28,904,1,0,1732:57,55:54,19
21,Colorado Avalanche,20192020,Philipp Grubauer,G,8475831,807,869,92.8653624856156,36,36,2.6251,90,12,4,86.6666666666667,143,165,0.916,977,81.8181818181818,27,33,1067,2,0,2057:06,57:08,18
22,Edmonton Oilers,20192020,Mike Smith,G,8469608,794,879,90.32992036405,38,36,2.9444,103,11,6,91.5032679738562,140,153,0.903,960,83.8709677419355,26,31,1063,1,0,2098:53,55:14,19
22,Edmonton Oilers,20192020,Mikko Koskinen,G,8475156,861,936,91.9871794871795,37,33,2.7455,94,13,2,90.4191616766467,151,167,0.917,1033,87.5,21,24,1127,1,0,2054:18,55:31,18
23,Vancouver Canucks,20192020,Jacob Markstrom,G,8474593,1090,1179,92.45122985581,43,43,2.7509,117,16,4,87.5598086124402,183,209,0.918,1303,93.75,30,32,1420,2,0,2551:53,59:20,23
23,Vancouver Canucks,20192020,Louis Domingue,G,8475839,328,370,88.6486486486487,17,15,3.814,51,9,2,84,42,50,0.882,382,92.3076923076923,12,13,433,0,0,802:19,47:11,3
23,Vancouver Canucks,20192020,Thatcher Demko,G,8477967,559,617,90.5996758508914,25,23,3.0723,72,9,2,88.3928571428571,99,112,0.904,679,95.4545454545454,21,22,751,0,0,1406:07,56:14,12
