Team Name,roster_person_fullName,roster_person_id,_Null_,active,alternateCaptain,birthCity,birthCountry,birthDate,birthStateProvince,captain,currentAge,currentTeam_id,currentTeam_link,currentTeam_name,firstName,fullName,height,id,lastName,link,nationality,primaryNumber,primaryPosition_abbreviation,primaryPosition_code,primaryPosition_name,primaryPosition_type,rookie,rosterStatus,shootsCatches,weight
Anaheim Ducks,Adam Henrique,8474641,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Brantford,CAN,1990-02-06,ON,0,30,24,/api/v1/teams/24,Anaheim Ducks,Adam,Adam Henrique,"6' 0""",8474641,Henrique,/api/v1/people/8474641,CAN,14,C,C,Center,Forward,0,Y,L,188
Anaheim Ducks,Brendan Guhle,8478425,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Edmonton,CAN,1997-07-29,AB,0,22,24,/api/v1/teams/24,Anaheim Ducks,Brendan,Brendan Guhle,"6' 2""",8478425,Guhle,/api/v1/people/8478425,CAN,2,D,D,Defenseman,Defenseman,0,Y,L,197
Anaheim Ducks,Cam Fowler,8475764,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Windsor,CAN,1991-12-05,ON,0,28,24,/api/v1/teams/24,Anaheim Ducks,Cam,Cam Fowler,"6' 1""",8475764,Fowler,/api/v1/people/8475764,USA,4,D,D,Defenseman,Defenseman,0,Y,L,207
Anaheim Ducks,Carter Rowney,8477240,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Grande Prairie,CAN,1989-05-10,AB,0,30,24,/api/v1/teams/24,Anaheim Ducks,Carter,Carter Rowney,"6' 1""",8477240,Rowney,/api/v1/people/8477240,CAN,24,C,C,Center,Forward,0,Y,R,208
Anaheim Ducks,Derek Grant,8474683,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Abbotsford,CAN,1990-04-20,BC,0,29,24,/api/v1/teams/24,Anaheim Ducks,Derek,Derek Grant,"6' 3""",8474683,Grant,/api/v1/people/8474683,CAN,38,C,C,Center,Forward,0,Y,L,206
Anaheim Ducks,Devin Shore,8476913,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Ajax,CAN,1994-07-19,ON,0,25,24,/api/v1/teams/24,Anaheim Ducks,Devin,Devin Shore,"6' 1""",8476913,Shore,/api/v1/people/8476913,CAN,29,C,C,Center,Forward,0,Y,L,206
Anaheim Ducks,Erik Gudbranson,8475790,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Ottawa,CAN,1992-01-07,ON,0,28,24,/api/v1/teams/24,Anaheim Ducks,Erik,Erik Gudbranson,"6' 5""",8475790,Gudbranson,/api/v1/people/8475790,CAN,6,D,D,Defenseman,Defenseman,0,I,R,217
Anaheim Ducks,Hampus Lindholm,8476854,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Helsingborg,SWE,1994-01-20,"",0,26,24,/api/v1/teams/24,Anaheim Ducks,Hampus,Hampus Lindholm,"6' 3""",8476854,Lindholm,/api/v1/people/8476854,SWE,47,D,D,Defenseman,Defenseman,0,Y,L,208
Anaheim Ducks,Jacob Larsson,8478491,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Ljungby,SWE,1997-04-29,"",0,22,24,/api/v1/teams/24,Anaheim Ducks,Jacob,Jacob Larsson,"6' 2""",8478491,Larsson,/api/v1/people/8478491,SWE,32,D,D,Defenseman,Defenseman,0,Y,L,190
Anaheim Ducks,Jakob Silfverberg,8475164,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,1,Gävle,SWE,1990-10-13,"",0,29,24,/api/v1/teams/24,Anaheim Ducks,Jakob,Jakob Silfverberg,"6' 0""",8475164,Silfverberg,/api/v1/people/8475164,SWE,33,RW,R,Right Wing,Forward,0,Y,R,208
