Season,Team Name,roster_person_fullName,roster_person_id,_Null_,active,alternateCaptain,birthCity,birthCountry,birthDate,birthStateProvince,captain,currentAge,currentTeam_id,currentTeam_link,currentTeam_name,firstName,fullName,height,id,lastName,link,nationality,primaryNumber,primaryPosition_abbreviation,primaryPosition_code,primaryPosition_name,primaryPosition_type,rookie,rosterStatus,shootsCatches,weight
20172018,Anaheim Ducks,Adam Henrique,8474641,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Brantford,CAN,1990-02-06,ON,0,30,24,/api/v1/teams/24,Anaheim Ducks,Adam,Adam Henrique,"6' 0""",8474641,Henrique,/api/v1/people/8474641,CAN,14,C,C,Center,Forward,0,Y,L,188
20172018,Anaheim Ducks,Andrew Cogliano,8471699,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Toronto,CAN,1987-06-14,ON,0,32,25,/api/v1/teams/25,Dallas Stars,Andrew,Andrew Cogliano,"5' 10""",8471699,Cogliano,/api/v1/people/8471699,CAN,11,C,C,Center,Forward,0,Y,L,175
20172018,Anaheim Ducks,Andy Welinski,8476407,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Duluth,USA,1993-04-27,MN,0,26,4,/api/v1/teams/4,Philadelphia Flyers,Andy,Andy Welinski,"6' 1""",8476407,Welinski,/api/v1/people/8476407,USA,3,D,D,Defenseman,Defenseman,0,N,R,201
20172018,Anaheim Ducks,Antoine Vermette,8468535,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,0,"",St. Agapit,CAN,1982-07-20,QC,"","","","","",Antoine,Antoine Vermette,"6' 1""",8468535,Vermette,/api/v1/people/8468535,CAN,50,C,C,Center,Forward,0,Y,L,197
20172018,Anaheim Ducks,Brandon Montour,8477986,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Brantford,CAN,1994-04-11,ON,0,25,7,/api/v1/teams/7,Buffalo Sabres,Brandon,Brandon Montour,"6' 0""",8477986,Montour,/api/v1/people/8477986,CAN,62,D,D,Defenseman,Defenseman,0,Y,R,189
20172018,Anaheim Ducks,Cam Fowler,8475764,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Windsor,CAN,1991-12-05,ON,0,28,24,/api/v1/teams/24,Anaheim Ducks,Cam,Cam Fowler,"6' 1""",8475764,Fowler,/api/v1/people/8475764,USA,4,D,D,Defenseman,Defenseman,0,Y,L,207
20172018,Anaheim Ducks,Chris Kelly,8467967,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,0,"",Toronto,CAN,1980-11-11,ON,"","","","","",Chris,Chris Kelly,"6' 0""",8467967,Kelly,/api/v1/people/8467967,CAN,22,C,C,Center,Forward,0,Y,L,190
20172018,Anaheim Ducks,Chris Wagner,8475780,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Walpole,USA,1991-05-27,MA,0,28,6,/api/v1/teams/6,Boston Bruins,Chris,Chris Wagner,"6' 0""",8475780,Wagner,/api/v1/people/8475780,USA,14,RW,R,Right Wing,Forward,0,Y,R,198
20172018,Anaheim Ducks,Corey Perry,8470621,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Peterborough,CAN,1985-05-16,ON,0,34,25,/api/v1/teams/25,Dallas Stars,Corey,Corey Perry,"6' 3""",8470621,Perry,/api/v1/people/8470621,CAN,10,RW,R,Right Wing,Forward,0,Y,R,205
20172018,Anaheim Ducks,Dennis Rasmussen,8477929,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,0,"",Vasteras,SWE,1990-07-03,"","","","","","",Dennis,Dennis Rasmussen,"6' 3""",8477929,Rasmussen,/api/v1/people/8477929,SWE,22,C,C,Center,Forward,0,N,L,192
20172018,Anaheim Ducks,Derek Grant,8474683,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Abbotsford,CAN,1990-04-20,BC,0,29,4,/api/v1/teams/4,Philadelphia Flyers,Derek,Derek Grant,"6' 3""",8474683,Grant,/api/v1/people/8474683,CAN,38,C,C,Center,Forward,0,Y,L,206
20172018,Anaheim Ducks,Francois Beauchemin,8467400,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,0,"",Sorel,CAN,1980-06-04,QC,"","","","","",Francois,Francois Beauchemin,"5' 11""",8467400,Beauchemin,/api/v1/people/8467400,CAN,23,D,D,Defenseman,Defenseman,0,Y,L,208
20172018,Anaheim Ducks,Giovanni Fiore,8479613,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,0,"",Laval,CAN,1996-08-13,QC,"","","","","",Giovanni,Giovanni Fiore,"6' 1""",8479613,Fiore,/api/v1/people/8479613,CAN,90,RW,R,Right Wing,Forward,1,N,L,188
20172018,Anaheim Ducks,Hampus Lindholm,8476854,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Helsingborg,SWE,1994-01-20,"",0,26,24,/api/v1/teams/24,Anaheim Ducks,Hampus,Hampus Lindholm,"6' 3""",8476854,Lindholm,/api/v1/people/8476854,SWE,47,D,D,Defenseman,Defenseman,0,Y,L,208
20172018,Anaheim Ducks,J.T. Brown,8476806,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Burnsville,USA,1990-07-02,MN,0,29,30,/api/v1/teams/30,Minnesota Wild,J.T.,J.T. Brown,"5' 10""",8476806,Brown,/api/v1/people/8476806,USA,23,RW,R,Right Wing,Forward,0,N,R,182
20172018,Anaheim Ducks,Jakob Silfverberg,8475164,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,1,Gävle,SWE,1990-10-13,"",0,29,24,/api/v1/teams/24,Anaheim Ducks,Jakob,Jakob Silfverberg,"6' 0""",8475164,Silfverberg,/api/v1/people/8475164,SWE,33,RW,R,Right Wing,Forward,0,Y,R,208
