Team Name,roster_person_fullName,roster_person_id,JSON_ValueString,JSON_Name6
New Jersey Devils,Sami Vatanen,8475222,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,
New Jersey Devils,Sami Vatanen,8475222,careerRegularSeason,
New Jersey Devils,Sami Vatanen,8475222,9175:10,timeOnIce
New Jersey Devils,Sami Vatanen,8475222,149,assists
New Jersey Devils,Sami Vatanen,8475222,45,goals
New Jersey Devils,Sami Vatanen,8475222,192,pim
New Jersey Devils,Sami Vatanen,8475222,805,shots
New Jersey Devils,Sami Vatanen,8475222,434,games
New Jersey Devils,Sami Vatanen,8475222,513,hits
New Jersey Devils,Sami Vatanen,8475222,21,powerPlayGoals
New Jersey Devils,Sami Vatanen,8475222,86,powerPlayPoints
New Jersey Devils,Sami Vatanen,8475222,1189:47,powerPlayTimeOnIce
New Jersey Devils,Sami Vatanen,8475222,7231:53,evenTimeOnIce
New Jersey Devils,Sami Vatanen,8475222,192,penaltyMinutes
New Jersey Devils,Sami Vatanen,8475222,50,faceOffPct
New Jersey Devils,Sami Vatanen,8475222,5.6,shotPct
New Jersey Devils,Sami Vatanen,8475222,3,gameWinningGoals
New Jersey Devils,Sami Vatanen,8475222,0,overTimeGoals
New Jersey Devils,Sami Vatanen,8475222,1,shortHandedGoals
New Jersey Devils,Sami Vatanen,8475222,3,shortHandedPoints
New Jersey Devils,Sami Vatanen,8475222,753:30,shortHandedTimeOnIce
New Jersey Devils,Sami Vatanen,8475222,678,blocked
New Jersey Devils,Sami Vatanen,8475222,-8,plusMinus
New Jersey Devils,Sami Vatanen,8475222,194,points
New Jersey Devils,Sami Vatanen,8475222,11234,shifts
New Jersey Devils,Sami Vatanen,8475222,21:08,timeOnIcePerGame
New Jersey Devils,Sami Vatanen,8475222,16:39,evenTimeOnIcePerGame
New Jersey Devils,Sami Vatanen,8475222,01:44,shortHandedTimeOnIcePerGame
New Jersey Devils,Sami Vatanen,8475222,02:44,powerPlayTimeOnIcePerGame
New Jersey Devils,Travis Zajac,8471233,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,
New Jersey Devils,Travis Zajac,8471233,careerRegularSeason,
New Jersey Devils,Travis Zajac,8471233,18396:29,timeOnIce
New Jersey Devils,Travis Zajac,8471233,336,assists
New Jersey Devils,Travis Zajac,8471233,192,goals
New Jersey Devils,Travis Zajac,8471233,334,pim
New Jersey Devils,Travis Zajac,8471233,1746,shots
New Jersey Devils,Travis Zajac,8471233,979,games
New Jersey Devils,Travis Zajac,8471233,768,hits
New Jersey Devils,Travis Zajac,8471233,52,powerPlayGoals
New Jersey Devils,Travis Zajac,8471233,146,powerPlayPoints
New Jersey Devils,Travis Zajac,8471233,2433:48,powerPlayTimeOnIce
New Jersey Devils,Travis Zajac,8471233,14135:41,evenTimeOnIce
New Jersey Devils,Travis Zajac,8471233,334,penaltyMinutes
New Jersey Devils,Travis Zajac,8471233,53.5,faceOffPct
New Jersey Devils,Travis Zajac,8471233,11,shotPct
New Jersey Devils,Travis Zajac,8471233,22,gameWinningGoals
New Jersey Devils,Travis Zajac,8471233,4,overTimeGoals
New Jersey Devils,Travis Zajac,8471233,12,shortHandedGoals
New Jersey Devils,Travis Zajac,8471233,22,shortHandedPoints
New Jersey Devils,Travis Zajac,8471233,1827:00,shortHandedTimeOnIce
New Jersey Devils,Travis Zajac,8471233,396,blocked
New Jersey Devils,Travis Zajac,8471233,-14,plusMinus
New Jersey Devils,Travis Zajac,8471233,528,points
New Jersey Devils,Travis Zajac,8471233,23390,shifts
New Jersey Devils,Travis Zajac,8471233,18:47,timeOnIcePerGame
New Jersey Devils,Travis Zajac,8471233,14:26,evenTimeOnIcePerGame
New Jersey Devils,Travis Zajac,8471233,01:51,shortHandedTimeOnIcePerGame
New Jersey Devils,Travis Zajac,8471233,02:29,powerPlayTimeOnIcePerGame
New Jersey Devils,Andy Greene,8472382,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,
New Jersey Devils,Andy Greene,8472382,careerRegularSeason,
New Jersey Devils,Andy Greene,8472382,19906:08,timeOnIce
New Jersey Devils,Andy Greene,8472382,197,assists
New Jersey Devils,Andy Greene,8472382,49,goals
New Jersey Devils,Andy Greene,8472382,259,pim
New Jersey Devils,Andy Greene,8472382,1013,shots
New Jersey Devils,Andy Greene,8472382,923,games
New Jersey Devils,Andy Greene,8472382,730,hits
New Jersey Devils,Andy Greene,8472382,15,powerPlayGoals
New Jersey Devils,Andy Greene,8472382,57,powerPlayPoints
New Jersey Devils,Andy Greene,8472382,1035:55,powerPlayTimeOnIce
New Jersey Devils,Andy Greene,8472382,16296:51,evenTimeOnIce
New Jersey Devils,Andy Greene,8472382,259,penaltyMinutes
New Jersey Devils,Andy Greene,8472382,4.8,shotPct
New Jersey Devils,Andy Greene,8472382,11,gameWinningGoals
New Jersey Devils,Andy Greene,8472382,3,overTimeGoals
New Jersey Devils,Andy Greene,8472382,2,shortHandedGoals
New Jersey Devils,Andy Greene,8472382,13,shortHandedPoints
New Jersey Devils,Andy Greene,8472382,2573:22,shortHandedTimeOnIce
New Jersey Devils,Andy Greene,8472382,1755,blocked
New Jersey Devils,Andy Greene,8472382,-19,plusMinus
New Jersey Devils,Andy Greene,8472382,246,points
New Jersey Devils,Andy Greene,8472382,24925,shifts
New Jersey Devils,Andy Greene,8472382,21:34,timeOnIcePerGame
New Jersey Devils,Andy Greene,8472382,17:39,evenTimeOnIcePerGame
New Jersey Devils,Andy Greene,8472382,02:47,shortHandedTimeOnIcePerGame
New Jersey Devils,Andy Greene,8472382,01:07,powerPlayTimeOnIcePerGame
New Jersey Devils,P.K. Subban,8474056,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,
New Jersey Devils,P.K. Subban,8474056,careerRegularSeason,
New Jersey Devils,P.K. Subban,8474056,16903:07,timeOnIce
New Jersey Devils,P.K. Subban,8474056,317,assists
New Jersey Devils,P.K. Subban,8474056,104,goals
New Jersey Devils,P.K. Subban,8474056,779,pim
New Jersey Devils,P.K. Subban,8474056,1733,shots
New Jersey Devils,P.K. Subban,8474056,701,games
New Jersey Devils,P.K. Subban,8474056,917,hits
New Jersey Devils,P.K. Subban,8474056,46,powerPlayGoals
New Jersey Devils,P.K. Subban,8474056,180,powerPlayPoints
New Jersey Devils,P.K. Subban,8474056,2446:53,powerPlayTimeOnIce
New Jersey Devils,P.K. Subban,8474056,13055:37,evenTimeOnIce
New Jersey Devils,P.K. Subban,8474056,779,penaltyMinutes
New Jersey Devils,P.K. Subban,8474056,33.3,faceOffPct
New Jersey Devils,P.K. Subban,8474056,6,shotPct
New Jersey Devils,P.K. Subban,8474056,16,gameWinningGoals
New Jersey Devils,P.K. Subban,8474056,4,overTimeGoals
New Jersey Devils,P.K. Subban,8474056,1,shortHandedGoals
New Jersey Devils,P.K. Subban,8474056,4,shortHandedPoints
New Jersey Devils,P.K. Subban,8474056,1400:37,shortHandedTimeOnIce
New Jersey Devils,P.K. Subban,8474056,953,blocked
New Jersey Devils,P.K. Subban,8474056,34,plusMinus
New Jersey Devils,P.K. Subban,8474056,421,points
New Jersey Devils,P.K. Subban,8474056,19705,shifts
New Jersey Devils,P.K. Subban,8474056,24:06,timeOnIcePerGame
New Jersey Devils,P.K. Subban,8474056,18:37,evenTimeOnIcePerGame
New Jersey Devils,P.K. Subban,8474056,01:59,shortHandedTimeOnIcePerGame
New Jersey Devils,P.K. Subban,8474056,03:29,powerPlayTimeOnIcePerGame
New Jersey Devils,Wayne Simmonds,8474190,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,
New Jersey Devils,Wayne Simmonds,8474190,careerRegularSeason,
New Jersey Devils,Wayne Simmonds,8474190,14402:12,timeOnIce
New Jersey Devils,Wayne Simmonds,8474190,247,assists
New Jersey Devils,Wayne Simmonds,8474190,250,goals
New Jersey Devils,Wayne Simmonds,8474190,1117,pim
New Jersey Devils,Wayne Simmonds,8474190,1966,shots
New Jersey Devils,Wayne Simmonds,8474190,898,games
New Jersey Devils,Wayne Simmonds,8474190,1635,hits
New Jersey Devils,Wayne Simmonds,8474190,98,powerPlayGoals
New Jersey Devils,Wayne Simmonds,8474190,165,powerPlayPoints
New Jersey Devils,Wayne Simmonds,8474190,2249:26,powerPlayTimeOnIce
New Jersey Devils,Wayne Simmonds,8474190,11801:15,evenTimeOnIce
New Jersey Devils,Wayne Simmonds,8474190,1117,penaltyMinutes
New Jersey Devils,Wayne Simmonds,8474190,42.5,faceOffPct
New Jersey Devils,Wayne Simmonds,8474190,12.7,shotPct
New Jersey Devils,Wayne Simmonds,8474190,42,gameWinningGoals
New Jersey Devils,Wayne Simmonds,8474190,2,overTimeGoals
New Jersey Devils,Wayne Simmonds,8474190,3,shortHandedGoals
New Jersey Devils,Wayne Simmonds,8474190,4,shortHandedPoints
New Jersey Devils,Wayne Simmonds,8474190,351:31,shortHandedTimeOnIce
New Jersey Devils,Wayne Simmonds,8474190,428,blocked
New Jersey Devils,Wayne Simmonds,8474190,-77,plusMinus
New Jersey Devils,Wayne Simmonds,8474190,497,points
New Jersey Devils,Wayne Simmonds,8474190,18467,shifts
New Jersey Devils,Wayne Simmonds,8474190,16:02,timeOnIcePerGame
New Jersey Devils,Wayne Simmonds,8474190,13:08,evenTimeOnIcePerGame
New Jersey Devils,Wayne Simmonds,8474190,00:23,shortHandedTimeOnIcePerGame
New Jersey Devils,Wayne Simmonds,8474190,02:30,powerPlayTimeOnIcePerGame
New Jersey Devils,Kyle Palmieri,8475151,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,
New Jersey Devils,Kyle Palmieri,8475151,careerRegularSeason,
New Jersey Devils,Kyle Palmieri,8475151,8636:10,timeOnIce
New Jersey Devils,Kyle Palmieri,8475151,161,assists
New Jersey Devils,Kyle Palmieri,8475151,171,goals
New Jersey Devils,Kyle Palmieri,8475151,288,pim
New Jersey Devils,Kyle Palmieri,8475151,1344,shots
New Jersey Devils,Kyle Palmieri,8475151,549,games
